001,1,3
006,1,1
008,1,1
009,1,1
010,1,3
014,1,1
015,1,1
016,1,1
017,1,1
018,1,1
020,1,1
022,1,1
025,1,1
028,1,1
031,1,1
035,1,1
037,1,1
042,1,1
044,1,1
049,1,1
050,1,1
051,1,1
052,1,1
055,1,1
056,1,1
057,1,1
058,1,1
060,1,1
061,1,1
064,1,1
066,1,1
068,1,1
070,1,1
072,1,1
078,1,1
079,1,1
083,1,1
085,1,1
091,1,1
094,1,1
099,1,1
100,1,1
101,1,1
105,1,1
109,1,1
112,1,1
113,1,1
114,1,1
116,1,1
120,1,1
123,1,1
126,1,1
128,1,1
129,1,1
130,1,1
131,1,1
136,1,1
139,1,1
140,1,1
141,1,1
142,1,1
144,1,1
145,1,1
149,1,1
150,1,1
153,1,1
163,1,1
164,1,1
166,1,1
168,1,1
169,1,1
170,1,1
171,1,1
173,1,1
176,1,1
177,1,1
180,1,1
182,1,1
183,1,1
184,1,3
188,1,1
190,1,1
191,1,1
196,1,1
198,1,1
201,1,1
203,1,1
204,1,1
205,1,1
209,1,1
210,1,1
212,1,1
213,1,1
214,1,1
216,1,1
217,1,1
218,1,1
220,1,1
221,1,1
222,1,1
224,1,1
228,1,1
232,1,1
234,1,1
235,1,3
236,1,1
241,1,1
242,1,1
246,1,1
247,1,1
248,1,1
250,1,1
252,1,1
254,1,1
256,1,1
258,1,1
259,1,3
260,1,1
261,1,1
263,1,1
264,1,1
266,1,1
267,1,1
269,1,1
272,1,1
273,1,1
276,1,1
277,1,1
278,1,1
282,1,1
284,1,1
289,1,1
290,1,1
292,1,1
295,1,1
299,1,1
302,1,1
304,1,1
307,1,1
309,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
318,1,1
319,1,1
321,1,1
326,1,1
327,1,1
329,1,1
332,1,1
334,1,1
335,1,1
338,1,1
339,1,1
341,1,1
342,1,1
343,1,2
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
350,1,1
351,1,1
352,1,1
353,1,1
355,1,1
356,1,1
359,1,1
362,1,1
363,1,1
365,1,1
366,1,3
368,1,1
371,1,1
372,1,1
375,1,1
377,1,1
378,1,1
383,1,1
386,1,1
387,1,1
393,1,1
397,1,1
399,1,1
401,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
411,1,1
415,1,1
417,1,1
418,1,1
421,1,1
422,1,1
426,1,1
427,1,1
428,1,1
430,1,1
433,1,1
435,1,1
436,1,1
441,1,1
444,1,1
445,1,1
447,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
460,1,1
461,1,1
463,1,3
464,1,1
465,1,1
467,1,1
468,1,1
471,1,1
472,1,1
474,1,1
475,1,1
476,1,1
477,1,1
480,1,1
481,1,1
486,1,1
487,1,1
488,1,1
491,1,1
493,1,1
496,1,1
002,2,1
003,2,1
004,2,2
005,2,2
011,2,2
013,2,2
021,2,1
024,2,2
026,2,3
027,2,2
032,2,2
034,2,2
