3700,331
3577,521
2856,410
2817,624
2628,516
2455,281
1455,245
660,136
562,270
2691,922
2280,1336
2572,1467
3629,1449
3529,1675
3360,2119
2693,1943
2765,2282
2388,2314
2548,2651
3352,2968
3307,2992
2914,3128
2125,3308
1696,3292
1658,3096
1475,3158
1395,3182
1347,3207
1860,3617
1981,3686
3122,3677
1522,4307
3197,4502
3351,4683
4319,1303
4564,1676
4665,3405
5523,4255
5357,4596
5497,4805
4991,5119
2844,5033
2440,5303
2042,5197
1580,5021
1952,4586
794,5316
279,4555
139,4456
340,4320
259,4271
62,4001
129,3906
1021,2096
801,1968
733,1919
2374,3438
1393,1626
719,1072
688,3279
121,4010
3460,5074
3278,5079
