5502,297
5566,397
4926,61
4834,61
3983,72
3882,94
3798,82
4971,1620
3731,1143
2901,961
2397,801
1762,469
2155,1251
565,91
409,118
268,301
1080,449
736,1092
1279,793
1508,1132
5609,2253
4832,2110
3894,2322
3567,2284
2752,1741
2545,1592
2716,2050
2658,2028
2545,2325
2100,2107
1756,1741
1736,1920
1599,1796
1588,1954
1219,2077
1185,1944
5528,2989
5441,3048
5471,3117
5428,3097
5409,3162
5519,3504
5486,3551
5154,2947
5107,2964
4906,3370
3291,3004
3519,3462
2726,2768
2712,2850
2688,3247
2558,2617
2178,3523
2259,3219
1398,3315
3776,4419
3373,4636
3332,4675
3298,4965
3267,5016
3229,4990
3297,5148
1542,4407
245,5086
2630,1907
152,1963
3166,5489
